Destination,Country,Region,Popularity_Rank,Search_Interest_Score,Type,Key_Attractions
London,United Kingdom,Europe,1,24,City,"Christmas markets, Winter Wonderland, ice skating, festive lights"
Vienna,Austria,Europe,2,21,City,"Christmas markets, Rathausplatz ice rink, classical concerts"
Prague,Czech Republic,Europe,3,6,City,"Medieval Christmas markets, Old Town Square, Charles Bridge"
Tokyo,Japan,Asia,4,4,City,"Illuminations, shopping, unique celebrations"
New York,United States,North America,5,3,City,"Rockefeller Center, ice skating, holiday shows"
Dubai,United Arab Emirates,Middle East,6,High,City,"Shopping, luxury experiences, warm weather"
Bangkok,Thailand,Asia,7,High,City,"Warm weather, street food, temples, markets"
Manila,Philippines,Asia,8,High,City,"New Year celebrations, island hopping base, warm weather"
Copenhagen,Denmark,Europe,9,Medium,City,"Tivoli Gardens, hygge atmosphere, Christmas markets"
Amsterdam,Netherlands,Europe,10,Medium,City,"Light Festival, canals, Christmas markets"
Munich,Germany,Europe,11,Medium,City,"Christkindlmarkt, Christmas tram, Neuschwanstein day trips"
Edinburgh,Scotland,Europe,12,Medium,City,"Christmas festival, ice skating, amusement rides"
Marrakech,Morocco,Africa,13,Medium,City,"Warm weather, exotic culture, souks"
Islamabad,Pakistan,Asia,14,Medium,City,"Green spaces, winter scenery, cultural sites"
Tenerife (Granadilla),Spain,Europe,15,Medium,Island,"Beach, warm weather, volcanic landscapes"
Geneva,Switzerland,Europe,16,Medium,City,"Lake Geneva, mountains, Christmas markets"
Krakow,Poland,Europe,17,Medium,City,"Medieval old town, Christmas markets, affordable"
Rome,Italy,Europe,18,Medium,City,"Vatican, historic sites, mild winter weather"
Salzburg,Austria,Europe,19,Medium,City,"Mozart's birthplace, Christmas markets, Sound of Music"
Cancún,Mexico,North America,20,Medium,Beach,"Warm weather, beaches, Mayan ruins"
Lihue,United States (Hawaii),North America,21,High,Beach,"Beach, warm weather, hotel occupancy 93%"
Punta Cana,Dominican Republic,Caribbean,22,High,Beach,"All-inclusive resorts, beaches, warm weather"
Cebu,Philippines,Asia,23,High,Beach,"Beaches, diving, warm weather, hotel occupancy 84%"
Saint Lucia,Caribbean,Caribbean,24,Medium,Island,"Beaches, luxury resorts, warm weather"
Rovaniemi,Finland,Europe,25,Medium,City,"Santa Claus Village, Northern Lights, Arctic experience"
Branson,United States (Missouri),North America,26,High (US),City,"Ozark Mountain Christmas, shows, family entertainment"
Chicago,United States (Illinois),North America,27,High (US),City,"Christkindlmarket, Magnificent Mile lights, ice skating"
Leavenworth,United States (Washington),North America,28,High (US),City,"Bavarian village, City of Lights, Christmas lighting"
Boston,United States (Massachusetts),North America,29,Medium (US),City,"Historic sites, Faneuil Hall, holiday markets"
Helen,United States (Georgia),North America,30,Medium (US),City,"Bavarian-inspired village, Christmas parade"